chop,error?,cloud number,valid,x mrak,y mrak,x stin,y stin,vzdalenost v px,vzdalenost v m,vyska slunce,vyska mraku
img_23_1, ,0,True,40,567,40,528,39.0,4945.2,31.93750237930078,2841.7896876103564
img_23_1, ,1,True,57,860,58,815,45.0111097397076,5707.408714994924,31.93750237930078,3279.7976278512597
img_23_1, ,2,False
img_23_1, ,3,True,987,767,985,722,45.044422518220834,5711.6327753104015,31.93750237930078,3282.2250101703507
img_23_1, ,4,False
img_23_1, ,5,True,27,715,39,679,37.94733192202055,4811.721687712206,31.93750237930078,2765.085552008341
img_23_1, ,6,True,618,445,616,404,41.048751503547585,5204.981690649834,31.93750237930078,2991.0748387708113
img_23_1, ,7,True,654,956,654,901,55.0,6974.0,31.93750237930078,4007.6521235530668
img_23_1, ,8,True,240,266,242,224,42.04759208325728,5331.634676157023,31.93750237930078,3063.8567582319847
img_23_1, ,9,True,184,531,184,488,43.0,5452.4,31.93750237930078,3133.255296596034
img_23_1, ,11,False
img_23_1, ,10,True,78,586,80,545,41.048751503547585,5204.981690649834,31.93750237930078,2991.0748387708113
img_23_1, ,11,False
img_23_1, ,12,True,575,74,573,30,44.04543109109048,5584.960662350272,31.93750237930078,3209.4320990003457
img_23_1, ,13,False
img_23_1, ,14,True,908,381,908,349,32.0,4057.6,31.93750237930078,2331.7248718854207
img_23_1, ,15,False
img_23_1, ,16,False
img_23_1, ,17,False
img_23_1, ,18,True,828,851,827,813,38.01315561749642,4820.0681322985465,31.93750237930078,2769.8818878802313
img_23_1, ,19,True,398,634,397,589,45.0111097397076,5707.408714994924,31.93750237930078,3279.7976278512597
img_23_1, ,20,True,762,949,758,902,47.16990566028302,5981.144037723887,31.93750237930078,3437.1013197678376
img_23_1, ,21,True,322,473,323,429,44.01136216933077,5580.640723071142,31.93750237930078,3206.949619243301
img_23_1, ,22,True,70,289,70,248,41.0,5198.8,31.93750237930078,2987.5224921031954
img_23_1, ,23,True,303,44,298,5,39.319206502675,4985.67538453919,31.93750237930078,2865.049117033946
img_23_1, ,24,True,733,121,734,78,43.01162633521314,5453.874219305026,31.93750237930078,3134.102465814326
img_23_1, ,25,True,127,339,128,297,42.01190307520001,5327.109309935361,31.93750237930078,3061.256228615108
img_23_1, ,26,True,983,296,980,247,49.09175083453431,6224.834005818951,31.93750237930078,3577.139263290172
img_23_1, ,27,True,664,85,663,36,49.01020301937138,6214.493742856291,31.93750237930078,3571.197167388193
img_23_1, ,28,True,934,505,936,457,48.041648597857254,6091.6810422083,31.93750237930078,3500.622091312597
img_23_1, ,29,True,265,431,266,389,42.01190307520001,5327.109309935361,31.93750237930078,3061.256228615108
img_23_1, ,30,True,510,87,507,38,49.09175083453431,6224.834005818951,31.93750237930078,3577.139263290172
img_23_1, ,31,True,108,510,107,468,42.01190307520001,5327.109309935361,31.93750237930078,3061.256228615108
img_23_1, ,32,True,144,532,139,487,45.27692569068709,5741.114177579122,31.93750237930078,3299.1666798588453
img_23_1, ,33,True,937,989,938,941,48.010415536631214,6087.720690044838,31.93750237930078,3498.3462505099133
img_23_2, ,0,True,359,728,353,681,47.38143096192854,6007.965445972538,31.93750237930078,3452.5144074828345
img_23_2, ,1,True,881,986,877,942,44.181444068749045,5602.207107917378,31.93750237930078,3219.342875341148
img_23_2, ,16,False
img_23_2, ,8,False
img_23_2, ,2,True,823,782,814,733,49.8196748283246,6317.134768231559,31.93750237930078,3630.1804658265155
img_23_2, ,3,True,717,851,715,802,49.040799340956916,6218.373356433337,31.93750237930078,3573.4266112641058
img_23_2, ,4,True,298,398,295,356,42.1070065428546,5339.168429633963,31.93750237930078,3068.1860761442563
img_23_2, ,5,False
img_23_2, ,6,False
img_23_2, ,7,False
img_23_2, ,9,True,958,960,956,918,42.04759208325728,5331.634676157023,31.93750237930078,3063.8567582319847
img_23_2, ,10,False
img_23_2, ,11,False
